"","Col1","Col2","Col3"
"1",1,1.20598866376912,20
"2",2,1.02584008335352,25
"3",3,0.11873767968818,40
"4",4,0.846815033740319,26
"5",5,0.752250182025005,23
"6",6,2.04937695068508,24
"7",7,1.50649886859329,21
"8",8,1.35362449167569,19
"9",9,0.486211650733813,26
"10",10,0.969119902517814,31
"11",11,0.700153520741875,25
"12",12,0.181918210128134,25
"13",13,0.435682003997708,31
"14",14,0.987410430226552,18
"15",15,0.0946528967135774,33
"16",16,0.879695849276051,23
"17",17,1.2396536897187,30
"18",18,0.288201446888494,26
"19",19,0.445573663099218,23
"20",20,2.34552200184783,27
"21",21,0.959530723385831,27
"22",22,1.54897802707836,29
"23",23,1.21066660475146,24
"24",24,0.212765235742291,31
"25",25,1.51750947788708,30
"26",26,1.47874515958227,21
"27",27,0.313653596091203,30
"28",28,2.12088872097622,29
"29",29,2.06906016244983,25
"30",30,1.94336149430097,39
"31",31,0.392529482299025,31
"32",32,0.5832543236043,26
"33",33,1.07307259212236,30
"34",34,0.643411616615899,20
"35",35,0.583108676464698,35
"36",36,1.4818511381188,30
"37",37,0.472338004916287,29
"38",38,0.866917114648924,19
"39",39,0.484954282834311,20
"40",40,2.27858233213024,31
"41",41,0.740259627953719,25
"42",42,0.605123566574122,11
"43",43,0.974922935366447,23
"44",44,1.58154710932132,27
"45",45,0.849964559708826,32
"46",46,0.412362740021887,27
"47",47,0.530035537839403,30
"48",48,0.151272395790807,22
"49",49,0.412703669831228,27
"50",50,0.367825790552353,21
"51",51,1.86398060637815,25
"52",52,0.0421559439401692,24
"53",53,0.735608205717044,31
"54",54,0.486811833717655,13
"55",55,2.43983062998549,29
"56",56,0.925325236529655,26
"57",57,1.80378251996685,21
"58",58,0.153989867555547,19
"59",59,0.510962562687193,21
"60",60,0.21510868662891,21
"61",61,0.244192070402329,28
"62",62,2.01738265869768,23
"63",63,0.393188674252307,31
"64",64,0.487338265610141,27
"65",65,1.80515066410688,27
"66",66,0.0337073672814332,30
"67",67,0.788836732537168,19
"68",68,0.609185514518331,28
"69",69,0.243419988878503,30
"70",70,1.23778211893332,31
"71",71,0.357678271239562,28
"72",72,1.29079484607891,24
"73",73,1.40819033764846,20
"74",74,1.24641019132763,23
"75",75,0.0608595492260644,25
"76",76,1.19180618964232,23
"77",77,0.717024712931432,24
"78",78,1.1711112112085,26
"79",79,0.118251232964618,18
"80",80,2.82460478831504,28
"81",81,0.603903630359789,29
"82",82,1.49689017260575,18
"83",83,0.964795863028046,24
"84",84,0.258250453379475,28
"85",85,0.730009287543713,25
"86",86,0.291958528095444,23
"87",87,0.171208147403558,25
"88",88,1.18048067641543,23
"89",89,1.21111999295761,28
"90",90,1.95385509366509,23
"91",91,0.347829448869025,27
"92",92,0.288870121580112,23
"93",93,0.343095732088944,25
"94",94,0.806764751691859,26
"95",95,0.63263359325446,23
"96",96,0.681675201113724,20
"97",97,0.0220519100311326,28
"98",98,1.17164255291487,30
"99",99,0.785320113197784,25
"100",100,0.829381127800637,20
